"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","All establishments","All establishments","2018","253,868","114,141,765","26,968,182","5,579,055"
"United States","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2018","66,800","4,862,469","476,082","106,073"
"United States","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2018","41,773","5,136,591","1,214,427","284,750"
"United States","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2018","51,326","13,335,918","3,198,349","719,385"
"United States","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2018","62,600","38,512,027","9,341,371","1,969,527"
"United States","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2018","25,645","34,671,824","8,493,019","1,704,862"
"United States","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2018","5,557","16,025,034","3,848,776","730,868"
"United States","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2018","148","1,236,912","305,193","47,476"
"United States","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2018","15","253,091","64,443","11,161"
"United States","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2018","4","107,899","26,522","4,953"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2018","54,857","32,020,241","7,754,773","1,605,202"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2018","13,096","862,452","109,702","22,956"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2018","8,090","1,014,494","244,954","54,668"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2018","8,963","2,406,564","578,610","126,422"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2018","13,184","8,219,281","2,030,366","434,547"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2018","8,820","11,804,640","2,934,200","598,960"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2018","2,653","7,217,744","1,732,928","348,059"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2018","46","393,922","98,907","15,246"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2018","4","70,669","18,038","3,035"
"United States","722511","Full-service restaurants","S-corporations ","All establishments","2018","106,907","45,308,492","10,612,033","2,178,744"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2018","22,449","1,803,098","192,271","37,989"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2018","18,411","2,474,588","586,151","126,802"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2018","26,290","7,217,290","1,719,092","369,894"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2018","30,471","18,785,642","4,507,376","934,105"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2018","7,828","10,524,393","2,530,565","505,075"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2018","1,410","4,118,741","983,363","188,833"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 250 to 499 employees","2018","44","341,490","82,482","13,425"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 500 to 999 employees","2018","4","43,250","10,733","2,621"
"United States","722511","Full-service restaurants","Individual proprietorships","All establishments","2018","36,000","7,022,509","1,631,605","409,161"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2018","16,695","718,708","95,758","27,202"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2018","7,872","738,597","179,181","52,566"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2018","6,000","1,183,922","290,491","80,587"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2018","3,633","1,820,178","436,440","107,193"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2018","1,583","1,895,230","468,919","111,012"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2018","207","533,723","129,909","25,995"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2018","7","62,936","14,282","2,002"
"United States","722511","Full-service restaurants","Partnerships","All establishments","2018","55,717","29,546,314","6,915,871","1,375,984"
"United States","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2018","14,422","1,467,292","77,236","17,737"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2018","7,351","902,123","202,793","50,401"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2018","10,029","2,517,613","608,044","141,865"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2018","15,228","9,626,799","2,352,601","490,783"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2018","7,352","10,342,845","2,534,809","485,312"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2018","1,278","4,114,713","995,174","166,867"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2018","50","427,548","106,713","16,474"
